Original Name	New Name	Seq Length	 Seq GC
Contig_1_Len12366	Contig_1_Len12366	12366	62.27559437166424
Contig_2_Len11031	Contig_2_Len11031	11031	58.797933097633944
Contig_3_Len7344	Contig_3_Len7344	7344	61.0838779956427
Contig_4_Len6450	Contig_4_Len6450	6450	61.224806201550386
Contig_5_Len4623	Contig_5_Len4623	4623	63.09755569976206
Contig_6_Len4477	Contig_6_Len4477	4477	59.7945052490507
Contig_7_Len4119	Contig_7_Len4119	4119	60.28162175285264
Contig_8_Len4002	Contig_8_Len4002	4002	58.395802098950526
Contig_9_Len3810	Contig_9_Len3810	3810	55.196850393700785
Contig_10_Len3783	Contig_10_Len3783	3783	65.29209621993127
Contig_11_Len3615	Contig_11_Len3615	3615	54.08022130013831
Contig_12_Len3402	Contig_12_Len3402	3402	60.728982951205175
Contig_13_Len3324	Contig_13_Len3324	3324	53.58002406738869
Contig_14_Len3042	Contig_14_Len3042	3042	59.99342537804076
Contig_15_Len1929	Contig_15_Len1929	1929	62.26023846552618
Contig_16_Len1512	Contig_16_Len1512	1512	52.116402116402114
Contig_17_Len1473	Contig_17_Len1473	1473	60.624575695858795
Contig_18_Len1392	Contig_18_Len1392	1392	59.62643678160919
Contig_19_Len1374	Contig_19_Len1374	1374	58.151382823871906
Contig_20_Len1332	Contig_20_Len1332	1332	59.83483483483484
Contig_21_Len1224	Contig_21_Len1224	1224	59.068627450980394
Contig_22_Len1152	Contig_22_Len1152	1152	58.94097222222222
Contig_23_Len1113	Contig_23_Len1113	1113	59.928122192273136
Contig_24_Len993	Contig_24_Len993	993	58.50956696878147
Contig_25_Len972	Contig_25_Len972	972	52.983539094650205
Contig_26_Len735	Contig_26_Len735	735	60.40816326530612
Contig_27_Len447	Contig_27_Len447	447	60.62639821029083
