Original Name	New Name	Seq Length	 Seq GC
Contig_1_Len4608	Contig_1_Len4608	4608	38.17274305555556
Contig_2_Len3903	Contig_2_Len3903	3903	36.61286190110172
Contig_3_Len3204	Contig_3_Len3204	3204	39.232209737827716
Contig_4_Len3057	Contig_4_Len3057	3057	42.68891069676153
Contig_5_Len2442	Contig_5_Len2442	2442	37.59213759213759
Contig_6_Len2385	Contig_6_Len2385	2385	40.041928721174
Contig_7_Len2256	Contig_7_Len2256	2256	38.12056737588652
Contig_8_Len2238	Contig_8_Len2238	2238	32.75245755138516
Contig_9_Len2169	Contig_9_Len2169	2169	35.9612724757953
Contig_10_Len2100	Contig_10_Len2100	2100	41.523809523809526
Contig_11_Len1962	Contig_11_Len1962	1962	36.391437308868504
Contig_12_Len1911	Contig_12_Len1911	1911	38.40920983778127
Contig_13_Len1869	Contig_13_Len1869	1869	41.78705189941145
Contig_14_Len1773	Contig_14_Len1773	1773	38.24027072758037
Contig_15_Len1746	Contig_15_Len1746	1746	39.11798396334479
Contig_16_Len1740	Contig_16_Len1740	1740	40.86206896551724
Contig_17_Len1677	Contig_17_Len1677	1677	37.26893261776983
Contig_18_Len1635	Contig_18_Len1635	1635	41.10091743119266
Contig_19_Len1629	Contig_19_Len1629	1629	35.91160220994475
Contig_20_Len1623	Contig_20_Len1623	1623	46.457178065311155
Contig_21_Len1557	Contig_21_Len1557	1557	39.820166987797045
Contig_22_Len1539	Contig_22_Len1539	1539	48.538011695906434
Contig_23_Len1437	Contig_23_Len1437	1437	34.9338900487126
Contig_24_Len1344	Contig_24_Len1344	1344	37.276785714285715
Contig_25_Len1326	Contig_25_Len1326	1326	36.27450980392157
Contig_26_Len1287	Contig_26_Len1287	1287	39.7047397047397
Contig_27_Len1281	Contig_27_Len1281	1281	40.82747853239656
Contig_28_Len1203	Contig_28_Len1203	1203	40.89775561097257
Contig_29_Len1173	Contig_29_Len1173	1173	35.72037510656436
Contig_30_Len1155	Contig_30_Len1155	1155	38.268398268398265
Contig_31_Len1149	Contig_31_Len1149	1149	36.64055700609225
Contig_32_Len1089	Contig_32_Len1089	1089	48.393021120293845
Contig_33_Len1029	Contig_33_Len1029	1029	36.248785228377066
Contig_34_Len1014	Contig_34_Len1014	1014	35.009861932938854
Contig_35_Len972	Contig_35_Len972	972	34.465020576131685
Contig_36_Len942	Contig_36_Len942	942	38.747346072186836
Contig_37_Len930	Contig_37_Len930	930	38.17204301075269
Contig_38_Len930	Contig_38_Len930	930	37.956989247311824
Contig_39_Len900	Contig_39_Len900	900	40.111111111111114
Contig_40_Len876	Contig_40_Len876	876	36.986301369863014
Contig_41_Len852	Contig_41_Len852	852	45.42253521126761
Contig_42_Len786	Contig_42_Len786	786	39.44020356234097
Contig_43_Len768	Contig_43_Len768	768	43.359375
Contig_44_Len747	Contig_44_Len747	747	38.01874163319946
Contig_45_Len729	Contig_45_Len729	729	44.30727023319616
Contig_46_Len681	Contig_46_Len681	681	44.49339207048458
Contig_47_Len681	Contig_47_Len681	681	36.27019089574156
Contig_48_Len669	Contig_48_Len669	669	35.72496263079223
Contig_49_Len639	Contig_49_Len639	639	35.68075117370892
Contig_50_Len603	Contig_50_Len603	603	38.4742951907131
Contig_51_Len549	Contig_51_Len549	549	39.5264116575592
Contig_52_Len522	Contig_52_Len522	522	45.019157088122604
Contig_53_Len453	Contig_53_Len453	453	36.42384105960265
Contig_54_Len360	Contig_54_Len360	360	36.388888888888886
Contig_55_Len348	Contig_55_Len348	348	31.896551724137932
Contig_56_Len321	Contig_56_Len321	321	38.3177570093458
Contig_57_Len312	Contig_57_Len312	312	50.0
Contig_58_Len312	Contig_58_Len312	312	47.756410256410255
Contig_59_Len285	Contig_59_Len285	285	31.57894736842105
Contig_60_Len131	Contig_60_Len131	131	37.404580152671755
