Original Name	New Name	Seq Length	Seq GC	Seq Coverage
NODE_136_length_5848_cov_25.477841_g60_i0	Contig_1_Len5848_Cov25	5848	48.97400820793434	25.477841
NODE_142_length_5783_cov_24.673701_g65_i0	Contig_2_Len5783_Cov25	5783	47.03441120525679	24.673701
NODE_168_length_5610_cov_68.067794_g78_i0	Contig_3_Len5610_Cov68	5610	47.16577540106952	68.067794
NODE_184_length_5499_cov_56.740000_g88_i0	Contig_4_Len5499_Cov57	5499	50.791052918712495	56.740000
NODE_209_length_5359_cov_55.849906_g102_i0	Contig_5_Len5359_Cov56	5359	46.96771785780929	55.849906
NODE_219_length_5341_cov_18.116024_g107_i0	Contig_6_Len5341_Cov18	5341	48.11832990076765	18.116024
NODE_230_length_5306_cov_41.050789_g114_i0	Contig_7_Len5306_Cov41	5306	49.58537504711647	41.050789
NODE_271_length_5155_cov_48.501175_g120_i1	Contig_8_Len5155_Cov49	5155	44.131910766246364	48.501175
NODE_289_length_5095_cov_41.883670_g155_i0	Contig_9_Len5095_Cov42	5095	44.43572129538764	41.883670
NODE_325_length_5007_cov_18.629689_g179_i0	Contig_10_Len5007_Cov19	5007	48.751747553425204	18.629689
NODE_336_length_4982_cov_80.307521_g182_i1	Contig_11_Len4982_Cov80	4982	47.149739060618224	80.307521
NODE_357_length_4916_cov_41.838299_g196_i0	Contig_12_Len4916_Cov42	4916	47.43694060211554	41.838299
NODE_362_length_4894_cov_63.476780_g201_i0	Contig_13_Len4894_Cov63	4894	51.06252554147936	63.476780
NODE_391_length_4843_cov_74.947226_g199_i1	Contig_14_Len4843_Cov75	4843	46.08713607268222	74.947226
NODE_413_length_4775_cov_90.055438_g230_i0	Contig_15_Len4775_Cov90	4775	46.82722513089005	90.055438
NODE_455_length_4698_cov_12.932889_g251_i1	Contig_16_Len4698_Cov13	4698	48.08429118773947	12.932889
NODE_460_length_4695_cov_50.075764_g262_i0	Contig_17_Len4695_Cov50	4695	48.71139510117146	50.075764
NODE_496_length_4644_cov_93.035256_g284_i0	Contig_18_Len4644_Cov93	4644	46.36089577950043	93.035256
NODE_518_length_4607_cov_24.464677_g296_i0	Contig_19_Len4607_Cov24	4607	51.682222704579985	24.464677
NODE_527_length_4596_cov_48.857488_g301_i0	Contig_20_Len4596_Cov49	4596	49.73890339425587	48.857488
NODE_534_length_4589_cov_60.944714_g306_i0	Contig_21_Len4589_Cov61	4589	46.8075833514927	60.944714
NODE_564_length_4543_cov_52.791500_g327_i0	Contig_22_Len4543_Cov53	4543	47.01738939027074	52.791500
