Original Name	New Name	Seq Length	Seq GC	Seq Coverage
NODE_96_length_4637_cov_31.218614_g87_i0	Contig_1_Len4637_Cov31	4637	34.09532025016174	31.218614
NODE_109_length_4370_cov_38.616755_g82_i2	Contig_2_Len4370_Cov39	4370	35.720823798627	38.616755
NODE_156_length_3937_cov_77.750514_g133_i0	Contig_3_Len3937_Cov78	3937	38.43027686055372	77.750514
NODE_162_length_3902_cov_67.743317_g126_i1	Contig_4_Len3902_Cov68	3902	36.10968733982573	67.743317
NODE_166_length_3897_cov_25.502339_g139_i0	Contig_5_Len3897_Cov26	3897	38.13189633051065	25.502339
NODE_170_length_3872_cov_43.923097_g143_i0	Contig_6_Len3872_Cov44	3872	36.59607438016529	43.923097
NODE_181_length_3796_cov_18.176675_g149_i1	Contig_7_Len3796_Cov18	3796	35.56375131717598	18.176675
NODE_194_length_3707_cov_26.335703_g159_i0	Contig_8_Len3707_Cov26	3707	36.87618019962233	26.335703
NODE_200_length_3691_cov_73.986546_g164_i0	Contig_9_Len3691_Cov74	3691	34.868599295583856	73.986546
NODE_202_length_3674_cov_52.950345_g165_i0	Contig_10_Len3674_Cov53	3674	33.532934131736525	52.950345
NODE_226_length_3556_cov_34.562589_g181_i0	Contig_11_Len3556_Cov35	3556	36.164229471316084	34.562589
NODE_238_length_3524_cov_80.640288_g191_i0	Contig_12_Len3524_Cov81	3524	37.03178206583428	80.640288
NODE_257_length_3425_cov_46.478969_g206_i0	Contig_13_Len3425_Cov46	3425	36.175182481751825	46.478969
NODE_284_length_3345_cov_73.038532_g225_i0	Contig_14_Len3345_Cov73	3345	34.91778774289985	73.038532
NODE_285_length_3344_cov_82.848558_g226_i0	Contig_15_Len3344_Cov83	3344	39.20454545454545	82.848558
NODE_294_length_3304_cov_64.247619_g234_i0	Contig_16_Len3304_Cov64	3304	35.80508474576271	64.247619
NODE_373_length_3084_cov_119.730807_g297_i0	Contig_17_Len3084_Cov120	3084	41.50453955901427	119.730807
